藝人中文名,藝人英文名,類型,地區,入圍紀錄,得獎紀錄,來源網址
鄭平,,待確認,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語男歌手獎；第35屆金曲獎 最佳新人獎；第15屆金音 最佳節奏藍調專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
青虫aoi,,團體,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
巴奈Panai,,女歌手,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語女歌手獎；第17屆金音 最佳創作歌手獎；第17屆金音 最佳民謠專輯獎；第17屆金音 最佳民謠歌曲獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
熊美玲,,女歌手,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
許富凱,,男歌手,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
林鈺婷,,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎；第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
葉穎,,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
邱淑蟬,,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎；第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第15屆金音 最佳新人獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第15屆金音 最佳民謠專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
柔米,Zoomie,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳客語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
彭柏邑,,男歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
AZ李孝祖,,男歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
邱立婷,,女歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
薩巴太魯閣兒童合唱團,,團體,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
舞炯恩加以法利得,,男歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳原住民語歌手獎；第15屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
歐開合唱團,O-Kai Singers,團體,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳演唱組合獎,第35屆金曲獎 最佳演唱組合獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615
Makav真愛,,團體,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳原住民語歌手獎；第35屆金曲獎 最佳新人獎；第15屆金音 最佳新人獎；第15屆金音 最佳節奏藍調專輯獎,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳新人獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
阿洛·卡力亭·巴奇辣,,女歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
林俊傑,JJ Lin,男歌手,國外,第35屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
Marz23,,男歌手,國內,第35屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
孫盛希,Shi Shi,女歌手,國內,第35屆金曲獎 最佳華語女歌手獎；第15屆金音 最佳節奏藍調歌曲獎,第35屆金曲獎 最佳華語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
9m88,,女歌手,國內,第35屆金曲獎 最佳華語女歌手獎；第15屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
蘇運瑩,,女歌手,國外,第35屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
袁婭維,,女歌手,國外,第35屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
翁立友,,男歌手,國內,第35屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
林俊逸,,男歌手,國內,第35屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
蘇明淵,,男歌手,國內,第35屆金曲獎 最佳台語男歌手獎；第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎,第35屆金曲獎 最佳台語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615
江惠儀,,女歌手,國內,第35屆金曲獎 最佳台語女歌手獎；第15屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
黃妃,,女歌手,國內,第35屆金曲獎 最佳台語女歌手獎,第35屆金曲獎 最佳台語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615
蔡家蓁,,女歌手,國內,第35屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
林沛蕎,Lulu Lin,女歌手,國內,第35屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
廣財與老樂手,,團體,國內,第35屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
雅維·茉芮,,女歌手,國內,第35屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
舞思愛,Usay Kawlu,女歌手,國內,第35屆金曲獎 最佳原住民語歌手獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳原住民語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
露波合唱團,,團體,國內,第35屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
麋先生,Mixer,團體,國內,第35屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
青虫,,團體,國內,第35屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
尋人啟事,The Wanted,團體,國內,第35屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
SmashRegz,,團體,國內,第35屆金曲獎 最佳演唱組合獎；第15屆金音 最佳嘻哈專輯獎；第15屆金音 最佳嘻哈歌曲獎,第15屆金音 最佳嘻哈專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
Limi,,團體,國內,第35屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
鄒序,,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
王ADEN,,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
徐暐翔,Vash Hsu,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
鳳小岳,,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
Jocelyn9.4.0,,女歌手,國內,第35屆金曲獎 最佳新人獎；第17屆金音 最佳節奏藍調專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609
李竺芯,,女歌手,國內,第36屆金曲獎 年度專輯獎；第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 最佳台語女歌手獎,第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 最佳台語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
阿布絲·塔娜比瑪,,女歌手,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
美秀集團,,團體,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
盧廣仲,,男歌手,國內,第36屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
謝銘祐,,男歌手,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳民謠專輯獎；第16屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
AAA（HYUKOH與落日飛車）,,團體,國外,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
Energy,,團體,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳演唱組合獎,第36屆金曲獎 年度歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
方大同,Khalil Fong,男歌手,國外,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 評審團獎,第36屆金曲獎 評審團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
陳奕迅,Eason Chan,男歌手,國外,第36屆金曲獎 年度歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
陳建騏,,待確認,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
陳綺貞,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
陳珊妮,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
曾國宏,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）；第17屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
荒井十一,,待確認,待確認,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
洪佩瑜,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
HUSH,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
康士坦的變化球,,團體,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
王心凌,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
五月天瑪莎,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
黃綺珊,,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
Ice Paper,,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
JIHU,,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
KAFE.HU咖啡胡,,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
李吉吉,Project Ace,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
秦四風,,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
圖靈音樂實驗室,,團體,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
Von Citizen,,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
王OK,,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
鄭楠,,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
張羽涵,Leezi,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
周雲蓬,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
林憶蓮,Sandy Lam,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
王菀之,Ivana Wong,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
李銖銜,James Lee,待確認,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
三隻狗,,待確認,待確認,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
J.Sheon,,男歌手,待確認,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
林家謙,Terence Lam,男歌手,國外,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
呂士軒,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語男歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳嘻哈專輯獎,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
魏如萱,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語女歌手獎,第36屆金曲獎 最佳華語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
楊肅浩,,男歌手,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
FunkyMo,,團體,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
陳以恆,,男歌手,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳節奏藍調專輯獎,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
王彙筑,,女歌手,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
秋林,,男歌手,國外,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
粹垢TRAEGO,,團體,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
黃子軒,,男歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
羅思容,,女歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第17屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
米莎,,女歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
楊淑喻（吉那）,,女歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
張淦勛,Giyu Tjuljaviya,男歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳新人獎；第16屆金音 最佳民謠專輯獎；第16屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Morikilr孔亞明,,男歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
Kumu Basaw姑慕·巴紹,,女歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎；第36屆金曲獎 最佳新人獎；第16屆金音 最佳節奏藍調歌曲獎,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎；第16屆金音 最佳節奏藍調歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
桑布伊,Sangpuy,男歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
戴曉君Sauljaljui,,女歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳創作歌手獎；第16屆金音 最佳樂手獎；第16屆金音 最佳民謠專輯獎；第16屆金音 最佳民謠歌曲獎,第16屆金音 最佳樂手獎；第16屆金音 最佳民謠專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
柏霖PoLin,,男歌手,國內,第36屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
