藝人中文名,維基條目網址,簡介,狀態
熊美玲,https://zh.wikipedia.org/wiki/%E7%86%8A%E7%BE%8E%E7%8E%B2,"熊美玲 （1959年—），台灣女作曲家、歌手，1981年正式發表第一首作品《玻璃魚》，1991年以由黃鶯鶯所演唱的《哭砂》國語歌曲獲得第3屆金曲獎『最佳作曲人獎』。2023年發行台語專輯《一路平安》，2024年憑藉該專入圍第35屆金曲獎四項大獎，同年在第2屆浪潮音樂大賞中榮獲『最佳閩南語專輯獎』。
",已取得
許富凱,https://zh.wikipedia.org/wiki/%E8%A8%B1%E5%AF%8C%E5%87%B1,"許富凱（1987年9月17日—），出生於高雄市旗山區的台語流行音樂歌手。
",已取得
林鈺婷,https://zh.wikipedia.org/wiki/%E6%9E%97%E9%88%BA%E5%A9%B7,"林鈺婷，台灣新竹竹東客家人，山狗大後生樂團團長及主唱，也是電視廣播主持人及配音員等。曾於2015年以個人詞曲創作及演唱，獲得客委會舉辦的潮客樂音樂大賽「舞臺演繹獎」。
",已取得
葉穎,https://zh.wikipedia.org/wiki/%E8%91%89%E7%A9%8E,"葉穎，（Leaf Yeh)，台灣創作歌手。作品以流行音樂、世界音樂、獨立電子見長。於2018年時以「Leaf葉子」推出了個人EP《光合》，更於《生滅》這張專輯之中加入台灣音樂較少有蹤跡的世界音樂元素混入許多風格和樂器，例如：澳洲木管、西塔琴、手碟等。
",已取得
邱淑蟬,,,無條目
柔米,,,待確認
彭柏邑,https://zh.wikipedia.org/wiki/%E5%BD%AD%E6%9F%8F%E9%82%91,"彭柏邑，臺灣客家男歌手、詞曲創作者、音樂製作人。自小學古典鋼琴、管樂，高中自學吉他，18歲考取街頭藝人證照，19歲開始寫歌。自學嘻哈創作及編曲，擔任嘻哈廠牌「逆流音樂」製作人，亦擅長EDM電子舞曲，並將多元風格融入客家創作。2020年加入張三李四，入圍第32屆金曲獎最佳演唱組合獎；2021及2022年發行兩張個人客語專輯，皆入圍金曲獎最佳客語專輯獎及年度專輯獎。因觀看偶像選秀節目《菱格世代DD52》對舞曲產生興趣，而毛遂自薦加入《原子少年》擔任音樂製作人，並音樂指導《未來少女》女團「幽靈水晶」。
",已取得
AZ李孝祖,,,無條目
邱立婷,https://zh.wikipedia.org/wiki/%E9%82%B1%E7%AB%8B%E5%A9%B7,"邱立婷，台灣爵士鋼琴家、作曲家與音樂教育者，畢業於比利時布魯塞爾皇家音樂學院爵士鋼琴碩士，曾旅歐五年，其創作融合爵士樂、台灣文化及原住民族音樂元素，曾以專輯《交織的平行》入圍第33屆金曲獎「演奏類最佳作曲人獎」、「最佳演奏錄音專輯獎」、第13屆金音創作獎「最佳爵士歌曲」。並以專輯《給幸福的一封信》入圍第35屆金曲獎「年度專輯獎」與「最佳原住民語專輯獎」。
",已取得
薩巴太魯閣兒童合唱團,,,無條目
舞炯恩加以法利得,,,無條目
歐開合唱團,https://zh.wikipedia.org/wiki/%E6%AD%90%E9%96%8B%E5%90%88%E5%94%B1%E5%9C%98,"歐開合唱團是一個由台灣原住民組成的阿卡佩拉合唱團，團長為賴家慶，以無伴奏合唱的方式演唱，成立於2004年，曾在臺灣、香港、中國大陸、荷蘭、奧地利、義大利、美國、加拿大、日本、韓國、新加坡等地演出，9年內演出場次超過700場。2012年底第一張專輯《O-Kai A Cappella》獲得2013年第24屆金曲獎的六項提名，獲得其中的最佳演唱組合獎、最佳原住民語專輯獎及評審團獎。2014年與五月天、亂彈阿翔、白安、家家、嚴爵、MP魔幻力量等藝人共同演唱世界盃足球賽歌曲中文群星版本〈由我們主宰〉。
",已取得
Makav真愛,,,無條目
阿洛·卡力亭·巴奇辣,https://zh.wikipedia.org/wiki/%E9%98%BF%E6%B4%9B%C2%B7%E5%8D%A1%E5%8A%9B%E4%BA%AD%C2%B7%E5%B7%B4%E5%A5%87%E8%BE%A3,"阿洛·卡力亭·巴奇辣，來自花蓮馬太鞍部落的阿美族，為音樂創作人、歌手與節目製作人。阿洛這個名字，呼應了阿美族神話中的「唱歌，是為了討神喜悅」。 
",已取得
林俊傑,https://zh.wikipedia.org/wiki/%E6%9E%97%E4%BF%8A%E6%9D%B0,"林俊傑，新加坡華裔歌手、詞曲作家、音樂製作人，被譽為「行走的CD」，出道至今已舉辦逾兩百場世界巡迴演唱會。曾拿下金曲獎最佳新人獎以及兩屆金曲獎最佳男歌手。2003年，發行首張創作專輯《樂行者》，之後憑藉2004年的專輯《第二天堂》中〈江南〉一曲成名，隨後的〈小酒窩〉、〈曹操〉、〈她說〉等歌曲亦造成迴響。2014年，以專輯《因你而在》獲得第25屆金曲獎最佳國語男歌手獎。2016年，再以專輯《和自己對話》奪得第27屆金曲獎最佳國語男歌手獎及演唱類最佳作曲人獎。
",已取得
Marz23,https://zh.wikipedia.org/wiki/%E6%9E%97%E5%BF%97%E8%9E%8D,"林志融（1991年9月23日—），藝名Marz23、阿夜，臺灣創作男歌手、詞曲作家。2009年以阿夜為名擔任TRASH樂團的主唱兼吉他手，為樂團的創團者之一。個人創作則以Marz23為名進行發表。〈我不是饒舌歌手〉為其代表作。2024年5月，於「Hito流行音樂獎」拿下「hito最具爆發力歌手」獎項，作品〈情勒〉一曲獲選「2023 hito年度十大華語歌曲」。
",已取得
孫盛希,https://zh.wikipedia.org/wiki/%E5%AD%AB%E7%9B%9B%E5%B8%8C,"孫盛希，暱稱希希，台灣創作女歌手及音樂製作人，是第三代韓國華僑。
",已取得
9m88,https://zh.wikipedia.org/wiki/9m88,"湯毓綺（1990年11月20日—），藝名9m88，臺灣創作女歌手和演員。2016年11月與Leo王合唱單曲《陪妳過假日》，2017年初在網路發布的個人單曲《九頭身日奈》，開始在社群媒體上為人熟知。2019年8月8日，正式推出首張個人創作專輯《平庸之上 Beyond Mediocrity》，並於2020年以此專輯獲得第11屆金音創作獎最佳新人獎。
",已取得
蘇運瑩,https://zh.wikipedia.org/wiki/%E8%98%87%E9%81%8B%E7%91%A9,"蘇運瑩（1991年4月8日—），生於海南三亞，中國大陸創作女歌手。2015年憑藉原創歌曲〈野子〉獲得廣大知名度，並以第二季《中國好歌曲》全國總決賽亞軍之姿出道。同年12月26日，推出首張個人原創專輯《冥明》。2016年，以首位踢館歌手身分參加第四季《我是歌手》第三期踢館賽。她也於同年憑藉《冥明》入圍台灣金曲獎最佳新人和最佳國語女歌手獎。
",已取得
袁婭維,https://zh.wikipedia.org/wiki/%E8%A2%81%E5%A8%85%E7%BB%B4,"袁婭維（1984年12月12日—），本名袁娟，中國女歌手，樂隊Tha KnutZ的女主唱，出生於湖南省懷化市，2004年開始踏入演藝圈，為張靚穎、馬天宇等歌手做幕後和音編唱，曾參與北京奧運會主題曲《我和你》R&B版本的錄製。2012年參加《中國好聲音》獲得劉歡組4強全國16強後，正式轉到幕前成為歌手出道，備受關注和歡迎。2014年11月發行首張專輯《T.I.A.》，並憑藉該專輯獲得第十屆勁歌王金曲金榜「傑出青年歌手獎」和「最佳舞台演繹獎」。同時獲第16屆華語音樂傳媒大獎「評審團推薦獎」提名。
",已取得
翁立友,https://zh.wikipedia.org/wiki/%E7%BF%81%E7%AB%8B%E5%8F%8B,"翁立友（1975年5月9日—），本名翁攀斐，台灣台語流行歌手，曾獲得第20屆金曲獎最佳台語男歌手獎。
",已取得
林俊逸,https://zh.wikipedia.org/wiki/%E6%9E%97%E4%BF%8A%E9%80%B8,"林俊逸，台灣歌手，出生於高雄市，文藻外國語文專科學校五專部法國語文科（副修英文）畢業。他是台視《五燈獎》〈小朋友歌唱比賽〉第一位五度五關得主，在過關後的1991年至1993年間陸續發行五張個人專輯，並以首張專輯《用愛擁抱世界》入圍第4屆金曲獎最佳新人獎。
",已取得
蘇明淵,https://zh.wikipedia.org/wiki/%E8%98%87%E6%98%8E%E6%B7%B5,"蘇明淵（1970年4月16日—），曾用藝名蘇兒真，是台灣高雄市出身的律師與創作歌手。輔仁大學法律學系畢業、國立臺灣大學國家發展研究所碩士班。1990年代於歌壇闖蕩後，於1998年折返法律行業並且律師高考合格，現今為執業律師，於桃園市中壢區經營律師事務所。2020年以專輯《善良的歹人》獲頒第31屆金曲獎最佳台語男歌手獎；2024年以專輯《心內烏空》獲頒第35屆金曲獎最佳台語男歌手獎。2024年擔任春河劇團《第三者》音樂劇音樂總監。2026年擔任第23屆臺灣原創流行音樂大獎評審總召。
",已取得
江惠儀,https://zh.wikipedia.org/wiki/%E6%B1%9F%E6%83%A0%E5%84%80,"江惠儀（1984年1月11日—），臺中市人，臺灣工程師與歌手，國立交通大學資管所博士，現職中華電信工程師。參與三立歌唱選秀節目《超級紅人榜》並於2011年6月5日成功衛冕二十關。至今5次入圍金曲獎最佳台語女歌手，3次入圍金曲獎最佳台語專輯。2019年6月29日以專輯《露螺》獲得第30屆金曲獎最佳台語女歌手，同年獲頒台中市傑出人士榮譽獎章、獲台灣民眾黨選入2020年立委選舉的全國不分區立法委員名單內（2020年9月退黨），2020年獲頒國立交通大學畢業生傑出貢獻獎，2021年獲頒第25屆十大傑出女青年，並獲國立暨南國際大學109學年度傑出校友。2022年第33屆金曲獎以專輯《空》再度獲得最佳台語女歌手。
",已取得
黃妃,https://zh.wikipedia.org/wiki/%E9%BB%83%E5%A6%83,"黃妃（1974年7月13日—），本名黃子倩（改名前為黃麗華），臺灣高雄人，為臺語女歌手。於2000年正式出道，發行首張個人專輯即獲得金曲獎「最佳方言女演唱人獎」（今最佳台語女歌手獎）提名，而專輯中的主打歌〈追追追〉更成為華人樂壇中傳唱度極高的經典歌曲。
",已取得
蔡家蓁,https://zh.wikipedia.org/wiki/%E8%94%A1%E5%AE%B6%E8%93%81,"蔡家蓁（1991年11月9日—），本名蔡幸芳。台灣嘉義縣人，台灣女歌手，畢業於玄奘大學大眾傳播學系。
",已取得
林沛蕎,,,無條目
廣財與老樂手,,,待確認
雅維·茉芮,https://zh.wikipedia.org/wiki/%E9%9B%85%E7%B6%AD%C2%B7%E8%8C%89%E8%8A%AE,"雅維·茉芮，出生於苗栗縣泰安鄉斯瓦細格部落（龍山部落）的台灣原住民族泰雅族語創作歌手，漢名林佳霏。就讀國立臺灣師範大學流行音樂產學應用碩士在職專班。
雅維·茉芮在學習泰雅族母語的過程中，透過到部落田野調查從耆老們口傳文化獲得創作的動力，而將泰雅族的傳統文化融入至流行音樂、搖滾、電音等多元曲風。
2019年以《斯瓦細格》入圍第30屆金曲獎最佳原住民語歌手獎和最佳原住民語專輯獎。
2023年以《wahi藤蔓》入圍第34屆金曲獎最佳原住民語歌手獎、2024年以《世界和我一起跳舞》入圍第35屆金曲獎最佳原住民語歌手獎。
",已取得
舞思愛,https://zh.wikipedia.org/wiki/%E8%88%9E%E6%80%9D%E6%84%9B,"舞思愛·羔露，藝名舞思愛，出生於台灣花蓮縣，成長於基隆市奇浩部落，台灣阿美族歌手、舞台劇演員。2011年在歌唱選秀節目第七屆《超級星光大道》中獲得季軍，同時也是歷屆超級星光大道中演唱最多原住民歌曲的選手。2015年參加第四屆《中國好聲音》三轉進入哈林戰隊。
",已取得
露波合唱團,,,無條目
麋先生,https://zh.wikipedia.org/wiki/%E9%BA%8B%E5%85%88%E7%94%9F,"麋先生 是一支臺灣樂團，由主唱吳聖皓、木吉他手林喆安、電吉他手小B余柏羲、貝斯手張以諾、和鼓手盧逸凡共五名成員組成。麋先生以專輯《馬戲團運動》首度入圍第25屆金曲獎，並獲得最佳樂團獎。
",已取得
青虫,,,無條目
尋人啟事,https://zh.wikipedia.org/wiki/%E5%B0%8B%E4%BA%BA%E5%95%9F%E4%BA%8B,,待確認
SmashRegz,,,無條目
Limi,https://zh.wikipedia.org/wiki/Limi,"Limi是台灣 chill pop 獨立雙人男女組合，過去曾是「睡帽樂團」主唱白淩（Li）、貝斯手呂旻（Mi）組成。他們於 2019 年 3 月 22 日以單曲《我的夜晚是不是你的白天》出道。首張專輯《二分之一》於 2019 年 11 月發行，並獲提名 第 31 屆金曲獎最佳演唱錄音專輯獎、Apple Music Awards 2019 矚目新人及最佳 Top 100，以及 2020 KKBOX 潮流新聲。2022 年在 Spotify 上獲得了超過 130 個國家/地區的超過 100 萬次串流播放量。
",已取得
鄒序,,,無條目
王ADEN,https://zh.wikipedia.org/wiki/%E7%8E%8BADEN,"王ADEN，是一名臺灣創作歌手。
",已取得
徐暐翔,https://zh.wikipedia.org/wiki/%E5%BE%90%E6%9A%90%E7%BF%94,"徐暐翔（1992年11月5日—），台灣男歌手。2013年參加中視舉辦第三屆《華人星光大道》，並在總決賽中獲得亞軍，後陸續參加民視《台灣那麼旺》、浙江衛視《2018中國好聲音》等歌唱選秀節目。2023年7月發行首張個人專輯《躍》。2026年9月發行第二張個人專輯《愛火山的人》。
",已取得
鳳小岳,https://zh.wikipedia.org/wiki/%E9%B3%B3%E5%B0%8F%E5%B2%B3,"鳳小岳，臺灣男演員、歌手，出生於英國、成長於臺北士林。其藉由電影《艋舺》、《女朋友·男朋友》、《九降風》等作品的演出而為人所知。
",已取得
Jocelyn9.4.0,,,無條目
李竺芯,https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%AB%BA%E8%8A%AF,"李竺芯（1989年6月17日—），本名李佳薇，台灣女歌手。11歲時即出道，她於2023年參與《MUSIC MAKER 音樂主理人》，贏得第4名而嶄露頭角，並在隔年發行專輯《Suí 水》。
",已取得
阿布絲·塔娜比瑪,,,無條目
美秀集團,https://zh.wikipedia.org/wiki/%E7%BE%8E%E7%A7%80%E9%9B%86%E5%9C%98,"美秀集團 是台灣嘉義的獨立樂團，曲風特色是帶有復古台味的搖滾和民謠，樂團採用自製樂器進行演出。該樂團自2016年5月開始對外活動，目前成員由主唱狗柏、鍵盤手冠佑、鼓手鍾錡以及貝斯手婷文組成。
團名「美秀」取自狗柏、冠佑兩位母親的名字。
",已取得
盧廣仲,https://zh.wikipedia.org/wiki/%E7%9B%A7%E5%BB%A3%E4%BB%B2,"盧廣仲，台灣創作男歌手、演員。大學時期學習彈奏吉他後，開始參與金韶獎、金旋獎等比賽並獲得突出成績，而決定正式以創作歌手為職業。在成為歌手後，他的作品與演出在華語流行音樂市場上廣受歡迎，並多次獲頒金曲獎、金馬獎等相關獎項。後來又投入演員事業，並獲頒金鐘獎等相關獎項。
",已取得
謝銘祐,https://zh.wikipedia.org/wiki/%E8%AC%9D%E9%8A%98%E7%A5%90,"謝銘祐（1969年2月8日—），生於南投草屯，台灣音樂製作人及詞曲創作人。五歲搬家至台南安平。畢業於臺南一中，輔仁大學。退伍後即踏入唱片界，長達十年在台北當音樂製作人。2000年回到故鄉台南，沒事就在台南大街小巷穿梭，自稱「府城流浪漢」。
",已取得
AAA（HYUKOH與落日飛車）,,,待確認
Energy,,,待確認
方大同,https://zh.wikipedia.org/wiki/%E6%96%B9%E5%A4%A7%E5%90%8C,"方大同，美籍香港創作男歌手、音樂製作人，出生於夏威夷，1997年定居香港。2005年發行首張個人專輯《Soulboy》踏入歌壇。方大同是將根源性藍調及靈魂樂融入華語流行樂的先驅，其作品中有大量黑人音樂的和聲及律動，為華語樂壇帶來重要影響。2008年奪得《叱咤樂壇流行榜頒獎典禮》「叱咤樂壇男歌手金獎」，成為該頒獎禮成立以來最年輕的男歌手金獎得主。曾提名台灣金曲獎達24次，其中6次提名最佳國語男歌手獎，並於2017年憑專輯《JTW 西遊記》獲獎；2021年憑歌曲〈麵麵〉獲得金曲獎最佳單曲製作人獎。
",已取得
陳奕迅,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%A5%95%E8%BF%85,"陳奕迅，香港男歌手、演員，被譽為「樂壇天王」、「金曲歌王」及「新一代歌神」等。1995年贏得第14屆新秀歌唱大賽冠軍而正式入行，至今已發行超過40張專輯。2005年他被《時代雜誌》喻為帶領香港粵語音樂潮流及影響香港樂壇風格的人物，同年推出的大碟《U87》也被該雜誌推選為「2005年五大亞洲最值得購買的唱片之一」。2010年，入選中國華語金曲獎「30年經典評選」，成為90年代出道歌手唯一代表。迄今共九度提名台灣金曲獎「最佳國語男歌手獎」並獲獎三次，是該獎項的入圍暨得獎紀錄保持者。2016—2021連續六年登上Spotify香港最高串流量歌手榜首。與環球唱片合作19年來歌曲串流播放率破750億。2023及2024年均登上Spotify全球最多串流收聽次數華語歌手第三位；香港最受歡迎本地歌手榜分別為第五及第四位； 2024年12月每月聽眾人數更超過四百萬。2025年已出道30年的他仍佔香港YouTube 熱門歌手第三位。
",已取得
陳建騏,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%BB%BA%E9%A8%8F,"陳建騏（1973年2月3日—），淡江大學會計學系畢業，台灣音樂人，常為劇場、電視劇、電影、廣告製作配樂，參與歌手專輯製作，及擔任周華健、陳珊妮、陳綺貞、楊乃文、魏如萱等歌手的演唱會鍵盤手。2011年，陳建騏與陳珊妮共組音樂團體「19」，11月19日發行首張同名專輯《19》。2013年，與陳綺貞、鍾成虎共組音樂團體「The Verse」，推出專輯《52赫茲》。2023年，陳建騏擔任第34屆金曲獎評審團主席。2024年，擔任湖南衛視《歌手2024》音樂總監。
",已取得
陳綺貞,https://zh.wikipedia.org/wiki/%E9%99%B3%E7%B6%BA%E8%B2%9E,"陳綺貞（1975年6月6日—），台灣創作女歌手。新北市蘆洲人，國立政治大學哲學系畢業。大學時期常於校園、天橋、地下道、咖啡廳、Live House、書店、墾丁海邊等地演唱。1998年發行首張專輯《讓我想一想》，其後陸續發行的《還是會寂寞》、《Groupies 吉他手》、《華麗的冒險》、《太陽》及《時間的歌》均獲選中華音樂人交流協會年度十大專輯。多次舉辦大型巡迴演唱會，其中2014年《時間的歌》演唱會世界巡迴達30場，動員超過20萬人參與。
",已取得
陳珊妮,https://zh.wikipedia.org/wiki/%E9%99%B3%E7%8F%8A%E5%A6%AE,"陳珊妮，台灣創作女歌手、音樂製作人、MV導演，生於菲律賓。1994年出道至今已發行14張個人創作專輯及3張音樂組合專輯。共獲得5座金曲獎，也曾憑藉《艋舺》獲得第54屆亞太影展最佳電影音樂獎。
",已取得
曾國宏,,,無條目
荒井十一,https://zh.wikipedia.org/wiki/%E8%8D%92%E4%BA%95%E5%8D%81%E4%B8%80,"荒井十一，出生於香港。打擊樂手、音樂製作人。
",已取得
洪佩瑜,https://zh.wikipedia.org/wiki/%E6%B4%AA%E4%BD%A9%E7%91%9C,"洪佩瑜（1990年12月10日—），臺灣女歌手。2010年參加《超級偶像》第四屆踢館賽，同年再度參加《超級偶像》第五屆比賽，後於2011年4月9日成為當屆亞軍，曾經在比賽中獲得當集的MVP。個人代表作為《踮起腳尖愛》，曾經在youtube出現非官方影片點閱高達六千多萬，不過在2023年以後已經移除。。
2017年起演出多部幾米音樂劇《地下鐵》、《向左走，向右走》、《時光電影院》。2023年以首張專輯《明室》入圍第34屆金曲獎包含最佳華語女歌手獎、年度專輯獎在內等8項獎項，成為當屆提名最多獎項的專輯，最終奪下最佳新人獎。同年以電影《本日公休》主題曲〈同款〉獲得第60屆金馬獎最佳原創電影歌曲。
",已取得
HUSH,https://zh.wikipedia.org/wiki/Hush,,待確認
康士坦的變化球,https://zh.wikipedia.org/wiki/%E5%BA%B7%E5%A3%AB%E5%9D%A6%E7%9A%84%E8%AE%8A%E5%8C%96%E7%90%83,"康士坦的變化球， 台灣樂團。成立於2013年，團名來自希臘哲學家赫拉克利特（Heraclitus）的名言 「Change is the only constant in life.」、「唯一不變的就是永遠在變化」，也就是佛說的「無常」。
",已取得
王心凌,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%BF%83%E5%87%8C,"王心凌，臺灣歌手、演員。血型O型。2003年發行首張專輯《Begin...》正式以歌手身分出道，進入演藝圈。
",已取得
五月天瑪莎,,,無條目
黃綺珊,https://zh.wikipedia.org/wiki/%E9%BB%84%E7%BB%AE%E7%8F%8A,"黃綺珊（1968年3月23日—），原名黃曉霞，重慶人，中國大陸女歌手。1994年，個人首張專輯與前夫音樂人涂惠源合作錄製專輯《HOVER OVER》，後由臺灣福茂唱片公司發行，專輯改名為《INSIDEMUSIC》。1995年獲得廣東廣州十大金曲的最具潛質女歌手獎，同年錄製台灣電視連續劇《風華絕代》的片頭及片尾曲。1999年與小柯合唱偶像劇《將愛情進行到底》中的插曲《我還能做什麼》。2000年底推出的專輯《只有你》，其中《只有你》被列入中國通用聲樂類考級十級考級曲目。2004年在雅典奧運會演唱央視主題曲《驕傲》。2007年8月25日出席鋼琴家羅伯特·威爾斯在瑞典的獨奏音樂會唯一演唱嘉賓。在沉寂樂壇多年後，於2013年參與湖南衛視《我是歌手》的節目錄製，再度紅遍兩岸三地，成為家喻戶曉的女歌手，2016年又參加了江蘇衛視的《蒙面唱將猜猜猜》。2016年，以本名入圍台灣第27屆金曲獎最佳國語女歌手。
",已取得
Ice Paper,https://zh.wikipedia.org/wiki/Ice_Paper,"Ice Paper（1991年10月29日—），本名魏然，男，江蘇省淮陰市人，中國歌手。2014年參加浙江衛視《中國好聲音》第三季比賽，被淘汰後經過復活賽進入齊秦組，經過過關斬將最終獲得該組亞軍、全國八強而出道， 其「星二代」「官二代」的顯赫身份備受媒體和觀眾關注。之後以藝名「Ice Paper」進軍說唱界，並於2019年以單曲《心如止水》再度翻紅。
",已取得
JIHU,,,無條目
KAFE.HU咖啡胡,,,無條目
李吉吉,,,無條目
秦四風,https://zh.wikipedia.org/wiki/%E7%A7%A6%E5%9B%9B%E9%A2%A8,"秦四風，是中國音樂製作人、作曲家、演奏家，曾獲第28屆金曲獎最佳專輯獎、最佳作曲人獎、最佳演奏錄音專輯獎三項大獎。
",已取得
圖靈音樂實驗室,,,無條目
Von Citizen,,,無條目
王OK,,,無條目
鄭楠,https://zh.wikipedia.org/wiki/%E9%83%91%E6%A5%A0,"鄭楠（1983年12月9日—），男，浙江杭州人，中國大陸歌手、音樂製作人。
",已取得
張羽涵,,,無條目
周雲蓬,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BA%91%E8%93%AC,"周雲蓬（1970年12月15日—），出生於遼寧瀋陽，中國大陸盲人獨立民謠歌手、詩人。
",已取得
林憶蓮,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%86%B6%E8%93%AE,"林憶蓮，香港女歌手、詞曲作家及音樂製作人。1982年，加入商業二台擔任兼職DJ，從此踏入娛樂圈。1985年，推出首張個人專輯《林憶蓮》踏入樂壇。其後她的音樂事業橫跨香港、臺灣、中國大陸和日本等亞洲地區。
",已取得
王菀之,https://zh.wikipedia.org/wiki/%E7%8E%8B%E8%8F%80%E4%B9%8B,"王菀之，香港唱作女歌手、藝術家、作曲家、演員，2005年加入樂壇，被譽為「天使吻過的聲音」。2008年9月，於STAR HALL舉行兩場入行後首次個人演唱會《我來自火星演唱會》，首場邀得歌神張學友當特別嘉賓，兩人合唱《我真的受傷了》（王菀之為張學友創作的歌曲）。2011年10月首次於香港紅磡體育館舉行2場《水．百合》個人演唱會，邀得3位當今樂壇頂尖音樂總監及42人弦樂隊合作，被喻為「顛覆紅館的Art Show」。隨後在2014年和2017年（與張敬軒合作）兩度再登紅館舉辦演唱會。2012年，王菀之憑《留白》勇奪香港四大音樂頒獎禮歌曲獎及「2012年度十大勁歌金曲頒獎典禮 金曲金獎」，曾連續7年獲得商業電台叱咤樂壇流行榜頒獎典禮「叱咤樂壇唱作人」獎項，並四度榮獲「叱咤樂壇唱作人金獎」，得到「唱作女皇」之聲名。
",已取得
李銖銜,https://zh.wikipedia.org/wiki/%E6%9D%8E%E9%93%A2%E8%A1%94,"李銖銜 是一位美籍韓裔歌手，曾任Royal Pirates的成員之一。
",已取得
三隻狗,,,無條目
J.Sheon,https://zh.wikipedia.org/wiki/J.Sheon,"莊珣（1985年12月24日—），藝名J.Sheon（或街巷），台灣創作男歌手。
",已取得
林家謙,https://zh.wikipedia.org/wiki/%E6%9E%97%E5%AE%B6%E8%AC%99,"林家謙，香港唱作男歌手，2014年以作曲人身分入行，在2019年出道成為獨立唱作人，在2022年於紅磡香港體育館首次舉行一連七場個人演唱會，並在2023年於倫敦O2體育館舉行首次海外個人演唱會。他主唱作品不少在自家房間錄製，並包辦作曲、填詞、編曲、和音、監製，同時繼續活躍於為多位華語及粵語歌手創作和製作歌曲，至今發表的歌曲逾100首，被譽為全能型的歌手及音樂製作人。
",已取得
