藝人中文名,藝人英文名,類型,地區,入圍紀錄,得獎紀錄,來源網址,網址識別碼,識別碼來源,識別碼依據網址,判斷依據
鄭平,,男歌手,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語男歌手獎；第35屆金曲獎 最佳新人獎；第15屆金音 最佳節奏藍調專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,zheng-ping,音譯,,維基百科消歧義頁列「鄭平(歌手)｜台灣台語男歌手」；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
青虫aoi,,團體,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,aoi,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
巴奈Panai,,女歌手,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語女歌手獎；第17屆金音 最佳創作歌手獎；第17屆金音 最佳民謠專輯獎；第17屆金音 最佳民謠歌曲獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,panai,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
熊美玲,,女歌手,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,xiong-mei-ling,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
許富凱,,男歌手,國內,第35屆金曲獎 最佳台語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,xu-fu-kai,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
林鈺婷,,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎；第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,lin-yu-ting,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
葉穎,,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,ye-ying,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
邱淑蟬,,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎；第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第15屆金音 最佳新人獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第15屆金音 最佳民謠專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493,qiu-shu-chan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
柔米,Zoomie,女歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳客語歌手獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳客語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,zoomie,藝人自用拼音,,英文名／藝名依原始名單欄位「Zoomie」
彭柏邑,,男歌手,國內,第35屆金曲獎 最佳客語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,peng-bai-yi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
AZ李孝祖,,男歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,az,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
邱立婷,,女歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,qiu-li-ting,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
薩巴太魯閣兒童合唱團,,團體,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,sa-ba-tai-lu-ge-er-tong-he-chang-tuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
舞炯恩加以法利得,,男歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳原住民語歌手獎；第15屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,wu-jiong-en-jia-yi-fa-li-de,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
歐開合唱團,O-Kai Singers,團體,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳演唱組合獎,第35屆金曲獎 最佳演唱組合獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615,o-kai-singers,官方英文名,https://zh.wikipedia.org/wiki/歐開合唱團,英文名／藝名依原始名單欄位「O-Kai Singers」
Makav真愛,,團體,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳原住民語歌手獎；第35屆金曲獎 最佳新人獎；第15屆金音 最佳新人獎；第15屆金音 最佳節奏藍調專輯獎,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎；第35屆金曲獎 最佳新人獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,makav,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
阿洛·卡力亭·巴奇辣,,女歌手,國內,第35屆金曲獎 最佳原住民語專輯獎；第35屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,a-luo-ka-li-ting-ba-qi-la,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
林俊傑,JJ Lin,男歌手,國外,第35屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,jj-lin,官方英文名,https://zh.wikipedia.org/wiki/林俊傑,英文名／藝名依原始名單欄位「JJ Lin」
Marz23,,男歌手,國內,第35屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,marz23,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
孫盛希,Shi Shi,女歌手,國內,第35屆金曲獎 最佳華語女歌手獎；第15屆金音 最佳節奏藍調歌曲獎,第35屆金曲獎 最佳華語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,shi-shi,藝人自用拼音,,英文名／藝名依原始名單欄位「Shi Shi」
9m88,,女歌手,國內,第35屆金曲獎 最佳華語女歌手獎；第15屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,9m88,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
蘇運瑩,,女歌手,國外,第35屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,su-yun-ying,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
袁婭維,,女歌手,國外,第35屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,yuan-ya-wei,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
翁立友,,男歌手,國內,第35屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,weng-li-you,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
林俊逸,,男歌手,國內,第35屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,lin-jun-yi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
蘇明淵,,男歌手,國內,第35屆金曲獎 最佳台語男歌手獎；第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎,第35屆金曲獎 最佳台語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615,su-ming-yuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
江惠儀,,女歌手,國內,第35屆金曲獎 最佳台語女歌手獎；第15屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,jiang-hui-yi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
黃妃,,女歌手,國內,第35屆金曲獎 最佳台語女歌手獎,第35屆金曲獎 最佳台語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615,huang-fei,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
蔡家蓁,,女歌手,國內,第35屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,cai-jia-zhen,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
林沛蕎,Lulu Lin,女歌手,國內,第35屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,lulu-lin,藝人自用拼音,,英文名／藝名依原始名單欄位「Lulu Lin」
廣財與老樂手,,團體,國內,第35屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,guang-cai-yu-lao-le-shou,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
雅維·茉芮,,女歌手,國內,第35屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,ya-wei-mo-rui,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
舞思愛,Usay Kawlu,女歌手,國內,第35屆金曲獎 最佳原住民語歌手獎；第15屆金音 最佳民謠歌曲獎,第35屆金曲獎 最佳原住民語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219615；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,usay-kawlu,藝人自用拼音,https://zh.wikipedia.org/wiki/舞思愛,英文名／藝名依原始名單欄位「Usay Kawlu」
露波合唱團,,團體,國內,第35屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,lu-bo-he-chang-tuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
麋先生,Mixer,團體,國內,第35屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,mixer,官方英文名,https://zh.wikipedia.org/wiki/麋先生,英文名／藝名依原始名單欄位「Mixer」
青虫,,團體,國內,第35屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,qing-chong,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
尋人啟事,The Wanted,團體,國內,第35屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,the-wanted,官方英文名,https://zh.wikipedia.org/wiki/尋人啟事,英文名／藝名依原始名單欄位「The Wanted」
SmashRegz,,團體,國內,第35屆金曲獎 最佳演唱組合獎；第15屆金音 最佳嘻哈專輯獎；第15屆金音 最佳嘻哈歌曲獎,第15屆金音 最佳嘻哈專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493,smashregz,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
Limi,,團體,國內,第35屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,limi,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
鄒序,,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,zou-xu,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
王ADEN,,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,aden,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
徐暐翔,Vash Hsu,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,vash-hsu,藝人自用拼音,https://zh.wikipedia.org/wiki/徐暐翔,英文名／藝名依原始名單欄位「Vash Hsu」
鳳小岳,,男歌手,國內,第35屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,feng-xiao-yue,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
Jocelyn9.4.0,,女歌手,國內,第35屆金曲獎 最佳新人獎；第17屆金音 最佳節奏藍調專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=219609,jocelyn9-4-0,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
李竺芯,,女歌手,國內,第36屆金曲獎 年度專輯獎；第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 最佳台語女歌手獎,第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 最佳台語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,li-zhu-xin,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
阿布絲·塔娜比瑪,,女歌手,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,a-bu-si-ta-na-bi-ma,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
美秀集團,,團體,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,mei-xiu-ji-tuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
盧廣仲,,男歌手,國內,第36屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,lu-guang-zhong,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
謝銘祐,,男歌手,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳民謠專輯獎；第16屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,xie-ming-you,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
AAA（HYUKOH與落日飛車）,,團體,國外,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,aaa-hyukoh,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
Energy,,團體,國內,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳演唱組合獎,第36屆金曲獎 年度歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,energy,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
方大同,Khalil Fong,男歌手,國外,第36屆金曲獎 年度歌曲獎；第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 評審團獎,第36屆金曲獎 評審團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,khalil-fong,官方英文名,https://zh.wikipedia.org/wiki/方大同,英文名／藝名依原始名單欄位「Khalil Fong」
陳奕迅,Eason Chan,男歌手,國外,第36屆金曲獎 年度歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,eason-chan,官方英文名,https://zh.wikipedia.org/wiki/陳奕迅,英文名／藝名依原始名單欄位「Eason Chan」
陳建騏,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,chen-jian-qi,音譯,,維基百科條目、鏡週刊報導其出櫃過程（男性代名詞）；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
陳綺貞,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,chen-qi-zhen,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
陳珊妮,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,chen-shan-ni,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
曾國宏,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）；第17屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,ceng-guo-hong,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
荒井十一,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,huang-jing-shi-yi,音譯,,維基百科條目：出生於香港，父親日本人母親香港人（打擊樂手、音樂製作人）；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
洪佩瑜,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,hong-pei-yu,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
HUSH,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,hush,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
康士坦的變化球,,團體,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,kang-shi-tan-de-bian-hua-qiu,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
王心凌,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,wang-xin-ling,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
五月天瑪莎,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,wu-yue-tian-ma-sha,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
黃綺珊,,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,huang-qi-shan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
Ice Paper,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,ice-paper,藝人自用拼音,,維基百科／百度百科：本名魏然，中國江蘇淮陰男歌手；藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
JIHU,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,jihu,藝人自用拼音,,萌娘/粉絲媒體資料：中國彝族音樂人吉胡；藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
KAFE.HU咖啡胡,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,kafe-hu,藝人自用拼音,,百度百科：本名胡懿，中國四川男歌手；藝名中英夾雜，取其自用羅馬字母部分作為識別碼
李吉吉,Project Ace,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,project-ace,藝人自用拼音,https://streetvoice.com/projectace/,知乎專訪／Project Ace樂團資料：李吉吉為中國大陸樂團Project Ace創始人兼主唱；英文名／藝名依原始名單欄位「Project Ace」
