藝人網址識別碼,系列名稱,發行年,系列類型,品項,版本說明,發行公司,來源網址
mj116,幹大事 Big Thing,2017,專輯發行,CD,,滾石唱片（經紀：本色）,https://www.discogs.com/release/15630536
mj116,董 Don,2019,專輯發行,CD,,滾石唱片（經紀：本色）,https://www.discogs.com/release/15630549
mj116,OGS,2025,專輯發行,CD,,滾石唱片（經紀：本色）,https://www.discogs.com/release/36833242
mc-hotdog,Wake Up,2006,專輯發行,CD,另有2007年版(catno RCCA-2180),滾石唱片（經紀：本色）,https://www.discogs.com/release/32891997
mc-hotdog,差不多先生,2008,專輯發行,CD,標準版1CD(catno RD-1832),滾石唱片（經紀：本色）,https://www.discogs.com/release/33259209
mc-hotdog,差不多先生,2008,專輯發行,CD,"豪華限定版2xCD(Dlx,Ltd)",滾石唱片（經紀：本色）,https://www.discogs.com/release/33259242
mc-hotdog,貧民百萬歌星,2012,專輯發行,CD,標準版(catno RD1941),滾石唱片（經紀：本色）,https://www.discogs.com/release/33264708
mc-hotdog,貧民百萬歌星,2012,專輯發行,CD,限定版(Ltd),滾石唱片（經紀：本色）,https://www.discogs.com/release/33259284
mc-hotdog,廢物,2019,專輯發行,CD,標準版(catno RD2069),滾石唱片（經紀：本色）,https://www.discogs.com/release/33259326
mc-hotdog,廢物,2019,專輯發行,CD,"豪華限定版(Dlx,Ltd)",滾石唱片（經紀：本色）,https://www.discogs.com/release/33266211
mc-hotdog,姚中二,2022,專輯發行,CD,,滾石唱片（經紀：本色）,https://www.discogs.com/release/33259368
mc-hotdog,髒藝術家,2023,專輯發行,CD,,滾石唱片（經紀：本色）,https://www.discogs.com/release/33259398
mc-hotdog,Super Brothers,2013,專輯發行,CD,與Edison Chen(陳冠希)合作Mixtape,Clot Media Division／本色,https://www.discogs.com/release/33259479
mc-hotdog,聲色犬王 Concert Live,2014,演唱會巡迴,藍光,,本色,https://www.discogs.com/release/33266547
mc-hotdog,聲色犬王 Concert Live,2014,演唱會巡迴,DVD,2DVD,本色,https://www.discogs.com/release/33266388
zhang-zhen-yue,OK,2007,專輯發行,CD,唱片公司標示為本色音樂、滾石唱片,本色音樂／滾石唱片,https://www.discogs.com/release/37490178
guts,台北小巨蛋日落黑趴,2016,演唱會巡迴,DVD,2DVD,滾石唱片（經紀：本色）,https://zh.wikipedia.org/zh-tw/兄弟本色
guts,台北小巨蛋日落黑趴,2016,演唱會巡迴,藍光,,滾石唱片（經紀：本色）,https://zh.wikipedia.org/zh-tw/兄弟本色
