藝人中文名,藝人英文名,廠牌,在籍狀態,類型,地區,網址識別碼,識別碼來源,維基條目網址,簡介,來源網址
三小湯,,顏社,前藝人,男歌手,國內,san-xiao-tang,音譯,,查無獨立維基條目，僅見於顏社企業條目「前旗下藝人」表格,https://zh.wikipedia.org/zh-tw/顏社企業
SOWUT,,顏社,前藝人,男歌手,國內,sowut,藝人自用拼音,,查無獨立維基條目，僅見於顏社企業條目「前旗下藝人」表格,https://zh.wikipedia.org/zh-tw/顏社企業
雞腿飯,,顏社,前藝人,男歌手,國內,ji-tui-fan,音譯,,查無獨立維基條目，僅見於顏社企業條目「前旗下藝人」表格,https://zh.wikipedia.org/zh-tw/顏社企業
李英宏,,顏社,前藝人,男歌手,國內,li-ying-hong,沿用v2名單（音譯）,https://zh.wikipedia.org/zh-tw/李英宏,李英宏 （1986年7月6日—），藝名DJ Didilong，臺灣男歌手、演員，新北市新莊區人，畢業於國立台灣藝術大學廣播電視學系。2016年5月發行首張個人專輯《台北直直撞》，並於同年9月30日在ATT Show Box舉辦首次個人演唱會。,https://zh.wikipedia.org/zh-tw/李英宏；https://zh.wikipedia.org/zh-tw/顏社企業
Leo王,Leo Wang,顏社,前藝人,男歌手,國內,leo,沿用v2名單（藝人自用拼音）,https://zh.wikipedia.org/zh-tw/Leo王,Leo王，本名王之佑，是出身自臺灣高雄的華語流行音樂創作歌手。他是龐克搖滾樂團巨大的轟鳴的主唱，以及饒舌演唱組合夜貓組的成員。2019年，以第三張個人專輯《無病呻吟有情抒情》獲頒第30屆金曲獎最佳國語男歌手獎。,https://zh.wikipedia.org/zh-tw/Leo王；https://zh.wikipedia.org/zh-tw/顏社企業
葛仲珊,Christine Ko / Miss Ko,顏社,前藝人,女歌手,國內,miss-ko,沿用v2名單（藝人自用拼音）,https://zh.wikipedia.org/zh-tw/葛仲珊,葛仲珊，藝名Miss Ko，出生並成長於美國的台灣饒舌女歌手。,https://zh.wikipedia.org/zh-tw/葛仲珊；https://zh.wikipedia.org/zh-tw/顏社企業
頑童MJ116,MJ116,本色音樂,現任,團體,國內,mj116,沿用v2名單（藝人自用拼音）,https://zh.wikipedia.org/zh-tw/頑童MJ116,頑童MJ116，簡稱「頑童」，臺灣饒舌團體，由「瘦子」（E.SO）、「小春」（Kenzy）以及「大淵」（Muta）三人所組成。成立於2004年7月，「MJ」的意思是木柵，「116」代表木柵所屬的臺北市文山區郵遞區號。2015年頑童三人與搖滾歌手張震嶽、饒舌歌手熱狗 組成音樂組合兄弟本色，以一曲俗稱「這樣太危險」的主打歌《Fly Out》爆紅，2017兄弟本色解散。2018年頑童以「幹大事」專輯，獲得第29屆金曲獎最佳演唱組合獎。2019年1月，在高雄的演唱會中，頑童宣布「單飛不解散」。,https://zh.wikipedia.org/zh-tw/頑童MJ116
呆寶靜,Double J,本色音樂,現任,女歌手,國外,double-j,官方英文名,https://zh.wikipedia.org/zh-tw/呆寶靜,呆寶靜，本名江靜，福建福州人，是一位在台灣發展的中國大陸快嘴饒舌女歌手。,https://zh.wikipedia.org/zh-tw/呆寶靜
大淵MUTA,Muta,本色音樂,現任,男歌手,國內,muta,藝人自用拼音,https://zh.wikipedia.org/zh-tw/大淵MUTA,大淵MUTA，出生於台北市文山區木柵，是一名台灣饒舌歌手、DJ，為饒舌團體頑童MJ116成員。,https://zh.wikipedia.org/zh-tw/大淵MUTA；https://zh.wikipedia.org/zh-tw/頑童MJ116
小春,Kenzy,本色音樂,現任,男歌手,國內,kenzy,藝人自用拼音,https://zh.wikipedia.org/zh-tw/小春,小春（1986年12月19日—），台灣饒舌歌手，本名周文傑，生於台北市，為饒舌團體頑童MJ116成員。,https://zh.wikipedia.org/zh-tw/小春；https://zh.wikipedia.org/zh-tw/頑童MJ116
瘦子E.SO,E.SO,本色音樂,現任,男歌手,國內,e-so,藝人自用拼音,https://zh.wikipedia.org/zh-tw/瘦子E.SO,瘦子E.SO，台灣饒舌歌手、詞曲作家、演員，本名陳昱榕。中文暱稱木柵冒險王，英文暱稱E.SO的「E」取自瘦子的英文名字Eddie開頭，「SO」則因發音接近中文瘦，而得名。為饒舌團體頑童MJ116成員。,https://zh.wikipedia.org/zh-tw/瘦子E.SO；https://zh.wikipedia.org/zh-tw/頑童MJ116
MC HotDog,MC HotDog,本色音樂,現任,男歌手,國內,mc-hotdog,沿用v2名單（藝人自用拼音）,https://zh.wikipedia.org/zh-tw/MC_HotDog,姚中仁（1978年4月10日—），藝名MC HotDog，簡稱熱狗，台灣饒舌男歌手，畢業於輔仁大學影像傳播學系，早年被譽為「台灣地下饒舌第一人」，音樂蔓延華人市場。後簽約加入魔岩唱片「大馬戲團音樂工作室」。歌曲大多使用直白的語言對各種社會現象進行赤裸裸的揭露。2007年6月憑《Wake Up》獲第18屆金曲獎最佳國語專輯獎。2015年與張震嶽、頑童MJ116組成限定組合「兄弟本色」。2017年在中國嘻哈選秀節目《中國有嘻哈》擔任明星製作人，亦開始於中國大陸娛樂圈發展。2024年，以《髒藝術家》獲得第35屆金曲獎最佳華語男歌手獎。,https://zh.wikipedia.org/zh-tw/MC_HotDog
張震嶽,,本色音樂,現任,男歌手,國內,zhang-zhen-yue,沿用v2名單（音譯）,https://zh.wikipedia.org/zh-tw/張震嶽,海雅·谷慕，漢名張震嶽，阿美族，台灣創作男歌手，其代表作歌曲包括〈愛的初體驗〉、〈愛我別走〉、〈分手吧〉、〈自由〉、〈思念是一種病〉等等，也曾參與電影演出。2014年以專輯《我是海雅谷慕》獲得第25屆金曲獎「最佳國語專輯獎」。2026年以專輯《跟著感覺走》獲得第37屆金曲獎「最佳華語男歌手獎」、「最佳華語專輯獎」及「最佳作曲人獎」（〈浪人的...〉）三項大獎。,https://zh.wikipedia.org/zh-tw/張震嶽
兄弟本色,G.U.T.S.,本色音樂,前藝人,團體,國內,guts,藝人自用拼音,https://zh.wikipedia.org/zh-tw/兄弟本色,兄弟本色（G.U.T.S），臺灣嘻哈音樂樂團，成員包括創作歌手張震嶽、饒舌歌手熱狗、及饒舌團體頑童MJ116所有成員。,https://zh.wikipedia.org/zh-tw/兄弟本色
